1509490091.79,IMD,Nossa Senhora de Nazaré,UberSELECT,3.02,15.0,11.0,600,R$11-15,BRL
1509490093.15,IMD,Planalto,uberX,7.04,24.0,19.0,1140,R$19-24,BRL
1509490093.15,IMD,Planalto,UberSELECT,7.04,28.0,22.0,1140,R$22-28,BRL
1509490094.35,IMD,Cidade Nova,uberX,4.74,18.0,14.0,960,R$14-18,BRL
1509490094.35,IMD,Cidade Nova,UberSELECT,4.74,21.0,16.0,960,R$16-21,BRL
1509490095.57,IMD,Cidade da Esperança,uberX,3.65,14.0,11.0,660,R$11-14,BRL
1509490095.57,IMD,Cidade da Esperança,UberSELECT,3.65,16.0,13.0,660,R$13-16,BRL
1509490099.24,IMD,Igapó,uberX,7.89,27.0,21.0,1500,R$21-27,BRL
1509490099.24,IMD,Igapó,UberSELECT,7.89,31.0,25.0,1500,R$25-31,BRL
1509490100.58,EC&T,Tirol,uberX,3.79,14.0,11.0,600,R$11-14,BRL
1509490100.58,EC&T,Tirol,UberSELECT,3.79,17.0,13.0,600,R$13-17,BRL
1509490101.93,EC&T,Candelária,uberX,2.55,11.0,8.0,540,R$8-11,BRL
1509490101.93,EC&T,Candelária,UberSELECT,2.55,13.0,10.0,540,R$10-13,BRL
1509490103.09,EC&T,Ribeira,uberX,5.96,20.0,16.0,1080,R$16-20,BRL
1509490103.09,EC&T,Ribeira,UberSELECT,5.96,24.0,19.0,1080,R$19-24,BRL
1509490104.4,EC&T,Santos Reis,uberX,7.57,24.0,19.0,1440,R$19-24,BRL
1509490104.4,EC&T,Santos Reis,UberSELECT,7.57,29.0,23.0,1440,R$23-29,BRL
1509490107.1,EC&T,Nova Descoberta,uberX,2.44,11.0,8.0,420,R$8-11,BRL
1509490107.1,EC&T,Nova Descoberta,UberSELECT,2.44,12.0,9.0,420,R$9-12,BRL
1509490108.39,EC&T,Nossa Senhora de Nazaré,uberX,3.5,14.0,10.0,600,R$10-14,BRL
1509490108.39,EC&T,Nossa Senhora de Nazaré,UberSELECT,3.5,16.0,12.0,600,R$12-16,BRL
1509490109.44,EC&T,Planalto,uberX,6.11,22.0,18.0,1140,R$18-22,BRL
1509490109.44,EC&T,Planalto,UberSELECT,6.11,27.0,21.0,1140,R$21-27,BRL
1509490110.78,EC&T,Cidade Nova,uberX,5.22,19.0,15.0,1020,R$15-19,BRL
1509490110.78,EC&T,Cidade Nova,UberSELECT,5.22,23.0,18.0,1020,R$18-23,BRL
1509490112.05,EC&T,Cidade da Esperança,uberX,4.13,15.0,12.0,780,R$12-15,BRL
1509490112.05,EC&T,Cidade da Esperança,UberSELECT,4.13,18.0,14.0,780,R$14-18,BRL
1509490114.71,EC&T,Igapó,uberX,8.35,30.0,23.0,1980,R$23-30,BRL
1509490114.71,EC&T,Igapó,UberSELECT,8.35,35.0,28.0,1980,R$28-35,BRL
1509490262.61,IMD,Tirol,uberX,3.3,13.0,10.0,600,R$10-13,BRL
1509490262.61,IMD,Tirol,UberSELECT,3.3,16.0,12.0,600,R$12-16,BRL
1509490263.93,IMD,Candelária,uberX,3.56,13.0,10.0,540,R$10-13,BRL
1509490263.93,IMD,Candelária,UberSELECT,3.56,16.0,12.0,540,R$12-16,BRL
1509490265.16,IMD,Ribeira,uberX,5.48,19.0,15.0,960,R$15-19,BRL
1509490265.16,IMD,Ribeira,UberSELECT,5.48,23.0,18.0,960,R$18-23,BRL
1509490266.44,IMD,Santos Reis,uberX,7.08,24.0,18.0,1320,R$18-24,BRL
1509490266.44,IMD,Santos Reis,UberSELECT,7.08,28.0,22.0,1320,R$22-28,BRL
1509490267.72,IMD,Nova Descoberta,uberX,1.29,8.0,6.0,300,R$6-8,BRL
1509490267.72,IMD,Nova Descoberta,UberSELECT,1.29,9.0,7.0,300,R$7-9,BRL
1509490268.89,IMD,Nossa Senhora de Nazaré,uberX,3.02,12.0,9.0,600,R$9-12,BRL
1509490268.89,IMD,Nossa Senhora de Nazaré,UberSELECT,3.02,15.0,11.0,600,R$11-15,BRL
1509490271.71,IMD,Planalto,uberX,7.04,24.0,19.0,1140,R$19-24,BRL
1509490271.71,IMD,Planalto,UberSELECT,7.04,28.0,22.0,1140,R$22-28,BRL
1509490274.75,IMD,Cidade Nova,uberX,4.74,18.0,14.0,960,R$14-18,BRL
1509490274.75,IMD,Cidade Nova,UberSELECT,4.74,21.0,16.0,960,R$16-21,BRL
1509490276.24,IMD,Cidade da Esperança,uberX,3.65,14.0,10.0,660,R$10-14,BRL
1509490276.24,IMD,Cidade da Esperança,UberSELECT,3.65,16.0,12.0,660,R$12-16,BRL
1509490279.09,IMD,Igapó,uberX,7.99,26.0,21.0,1980,R$21-26,BRL
1509490279.09,IMD,Igapó,UberSELECT,7.99,31.0,25.0,1980,R$25-31,BRL
1509490280.3,EC&T,Tirol,uberX,3.79,14.0,11.0,600,R$11-14,BRL
1509490280.3,EC&T,Tirol,UberSELECT,3.79,17.0,13.0,600,R$13-17,BRL
1509490281.59,EC&T,Candelária,uberX,2.55,11.0,8.0,540,R$8-11,BRL
1509490281.59,EC&T,Candelária,UberSELECT,2.55,13.0,10.0,540,R$10-13,BRL
1509490282.76,EC&T,Ribeira,uberX,5.96,20.0,16.0,1080,R$16-20,BRL
1509490282.76,EC&T,Ribeira,UberSELECT,5.96,24.0,19.0,1080,R$19-24,BRL
1509490283.83,EC&T,Santos Reis,uberX,7.57,24.0,19.0,1380,R$19-24,BRL
1509490283.83,EC&T,Santos Reis,UberSELECT,7.57,29.0,23.0,1380,R$23-29,BRL
1509490285.05,EC&T,Nova Descoberta,uberX,2.44,11.0,8.0,420,R$8-11,BRL
1509490285.05,EC&T,Nova Descoberta,UberSELECT,2.44,12.0,9.0,420,R$9-12,BRL
1509490286.2,EC&T,Nossa Senhora de Nazaré,uberX,3.5,14.0,10.0,600,R$10-14,BRL
1509490286.2,EC&T,Nossa Senhora de Nazaré,UberSELECT,3.5,16.0,12.0,600,R$12-16,BRL
1509490287.43,EC&T,Planalto,uberX,6.11,22.0,17.0,1140,R$17-22,BRL
1509490287.43,EC&T,Planalto,UberSELECT,6.11,26.0,21.0,1140,R$21-26,BRL
1509490288.74,EC&T,Cidade Nova,uberX,5.22,19.0,15.0,1020,R$15-19,BRL
1509490288.74,EC&T,Cidade Nova,UberSELECT,5.22,23.0,18.0,1020,R$18-23,BRL
1509490290.9,EC&T,Cidade da Esperança,uberX,4.13,15.0,12.0,780,R$12-15,BRL
1509490290.9,EC&T,Cidade da Esperança,UberSELECT,4.13,18.0,14.0,780,R$14-18,BRL
1509490291.9,EC&T,Igapó,uberX,8.35,30.0,23.0,1980,R$23-30,BRL
1509490291.9,EC&T,Igapó,UberSELECT,8.35,35.0,28.0,1980,R$28-35,BRL
1509490443.08,IMD,Tirol,uberX,3.3,13.0,10.0,600,R$10-13,BRL
1509490443.08,IMD,Tirol,UberSELECT,3.3,16.0,12.0,600,R$12-16,BRL
1509490444.29,IMD,Candelária,uberX,3.56,14.0,10.0,540,R$10-14,BRL
1509490444.29,IMD,Candelária,UberSELECT,3.56,16.0,12.0,540,R$12-16,BRL
1509490445.56,IMD,Ribeira,uberX,5.48,19.0,15.0,1020,R$15-19,BRL
1509490445.56,IMD,Ribeira,UberSELECT,5.48,23.0,18.0,1020,R$18-23,BRL
1509490448.68,IMD,Santos Reis,uberX,7.08,24.0,18.0,1320,R$18-24,BRL
1509490448.68,IMD,Santos Reis,UberSELECT,7.08,28.0,22.0,1320,R$22-28,BRL
1509490449.94,IMD,Nova Descoberta,uberX,1.29,8.0,6.0,300,R$6-8,BRL
1509490449.94,IMD,Nova Descoberta,UberSELECT,1.29,9.0,7.0,300,R$7-9,BRL
1509490453.18,IMD,Nossa Senhora de Nazaré,uberX,3.02,13.0,9.0,600,R$9-13,BRL
1509490453.18,IMD,Nossa Senhora de Nazaré,UberSELECT,3.02,15.0,11.0,600,R$11-15,BRL
1509490454.29,IMD,Planalto,uberX,7.04,24.0,19.0,1140,R$19-24,BRL
1509490454.29,IMD,Planalto,UberSELECT,7.04,28.0,22.0,1140,R$22-28,BRL
1509490455.48,IMD,Cidade Nova,uberX,4.74,17.0,13.0,960,R$13-17,BRL
1509490455.49,IMD,Cidade Nova,UberSELECT,4.74,21.0,16.0,960,R$16-21,BRL
1509490458.07,IMD,Cidade da Esperança,uberX,2.12,14.0,10.0,240,R$10-14,BRL
1509490458.07,IMD,Cidade da Esperança,UberSELECT,2.12,16.0,12.0,240,R$12-16,BRL
1509490460.93,IMD,Igapó,uberX,7.88,26.0,21.0,1560,R$21-26,BRL
1509490460.93,IMD,Igapó,UberSELECT,7.88,31.0,24.0,1560,R$24-31,BRL
1509490463.79,EC&T,Tirol,uberX,3.79,14.0,11.0,600,R$11-14,BRL
1509490463.79,EC&T,Tirol,UberSELECT,3.79,17.0,13.0,600,R$13-17,BRL
1509490465.04,EC&T,Candelária,uberX,2.55,11.0,8.0,540,R$8-11,BRL
1509490465.04,EC&T,Candelária,UberSELECT,2.55,13.0,10.0,540,R$10-13,BRL
1509490466.29,EC&T,Ribeira,uberX,5.96,20.0,16.0,1080,R$16-20,BRL
1509490466.29,EC&T,Ribeira,UberSELECT,5.96,24.0,19.0,1080,R$19-24,BRL
1509490467.47,EC&T,Santos Reis,uberX,7.57,24.0,19.0,1380,R$19-24,BRL
1509490467.47,EC&T,Santos Reis,UberSELECT,7.57,29.0,23.0,1380,R$23-29,BRL
1509490470.78,EC&T,Nova Descoberta,uberX,2.44,11.0,8.0,420,R$8-11,BRL
1509490470.78,EC&T,Nova Descoberta,UberSELECT,2.44,12.0,9.0,420,R$9-12,BRL
1509490472.04,EC&T,Nossa Senhora de Nazaré,uberX,3.5,14.0,10.0,660,R$10-14,BRL
1509490472.04,EC&T,Nossa Senhora de Nazaré,UberSELECT,3.5,16.0,12.0,660,R$12-16,BRL
1509490475.18,EC&T,Planalto,uberX,6.11,22.0,17.0,1140,R$17-22,BRL
1509490475.18,EC&T,Planalto,UberSELECT,6.11,26.0,21.0,1140,R$21-26,BRL
1509490476.34,EC&T,Cidade Nova,uberX,5.22,19.0,15.0,1020,R$15-19,BRL
1509490476.34,EC&T,Cidade Nova,UberSELECT,5.22,23.0,18.0,1020,R$18-23,BRL
1509490479.63,EC&T,Cidade da Esperança,uberX,4.13,15.0,12.0,780,R$12-15,BRL
1509490479.63,EC&T,Cidade da Esperança,UberSELECT,4.13,18.0,14.0,780,R$14-18,BRL
1509490480.64,EC&T,Igapó,uberX,8.35,30.0,23.0,1980,R$23-30,BRL
1509490480.64,EC&T,Igapó,UberSELECT,8.35,35.0,28.0,1980,R$28-35,BRL
1509490623.05,IMD,Tirol,uberX,3.3,13.0,10.0,600,R$10-13,BRL
1509490623.05,IMD,Tirol,UberSELECT,3.3,16.0,12.0,600,R$12-16,BRL
1509490626.15,IMD,Candelária,uberX,3.56,13.0,10.0,600,R$10-13,BRL
1509490626.15,IMD,Candelária,UberSELECT,3.56,16.0,12.0,600,R$12-16,BRL
1509490629.36,IMD,Ribeira,uberX,5.48,19.0,15.0,1020,R$15-19,BRL
1509490629.36,IMD,Ribeira,UberSELECT,5.48,23.0,18.0,1020,R$18-23,BRL
1509490630.76,IMD,Santos Reis,uberX,7.08,24.0,18.0,1320,R$18-24,BRL
1509490630.76,IMD,Santos Reis,UberSELECT,7.08,28.0,22.0,1320,R$22-28,BRL
1509490633.06,IMD,Nova Descoberta,uberX,1.29,8.0,6.0,300,R$6-8,BRL
